"id_folder","name_folder","note"
"1","K4",NULL
"2","K5",NULL
"3","WP9",NULL
"4","K6",NULL
"5","WP8",NULL
"6","WP10",NULL
"7","Eu6",NULL
"8","bez nazwy",NULL
"9","Wi4",NULL
"10","K10",NULL
"11","O8",NULL
"12","Al3",NULL
"13","U3",NULL
"14","Wi7",NULL
"15","Al2",NULL
"16","M6",NULL
"17","O9",NULL
"18","Ps1",NULL
"19","Ps2",NULL
"20","U1",NULL
"21","U2",NULL
"22","U4",NULL
"23","U5",NULL
"24","U6",NULL
"25","Wi1",NULL
"26","Wi2",NULL
"27","Wi3",NULL
"28","Wi5",NULL
"29","Wi6",NULL
"30","Wi8",NULL
"31","Wi9",NULL
"32","WP1",NULL
"33","WP2",NULL
"34","WP3",NULL
"35","WP4",NULL
"36","WP6",NULL
"37","WP5",NULL
"38","WP7",NULL
"39","U7",NULL
"40","U8",NULL
"41","U9",NULL
"42","U10",NULL
"43","Al1",NULL
"44","Ad1",NULL
"45","Ch1",NULL
"46","Eu1",NULL
"47","Eu2",NULL
"48","Eu3",NULL
"49","Eu4",NULL
"50","Eu5",NULL
"51","Gr1",NULL
"52","Gr2",NULL
"53","H1",NULL
"54","K1",NULL
"55","K2",NULL
"56","K3",NULL
"57","K7",NULL
"58","K8",NULL
"59","K9",NULL
"60","M1",NULL
"61","M2",NULL
"62","M3",NULL
"63","M4",NULL
"64","M5",NULL
"65","O1",NULL
"66","O2",NULL
"67","O3",NULL
"68","O4",NULL
"69","O5",NULL
"70","O6",NULL
"71","O7",NULL
"72","O10",
"73","Kc4",
"74","Kc2",
"75","Kc3",
"76","Kc5",
"77","Kc6",
"78","Kc7",
"79","Kc8",
"80","Kc9",
"81","Kc10",
