"id","header","text"
"6","2022.10.03 Inauguracja roku akademickiego UPH Msza ","wj.: Gaude Mater
al.: Alleluja z Bazyliki
d.: Bogu z Jego darów
k.: Zbliżam się w pokorze
u.: Canticorum iubilo
z. Maryjo, ja Twe dziecię"
"7","2022.10.16 XXIX NZ, ROK C","wj.: Jezu miłości Twej
al.: Kwiatkowski
d.: Przyjmij o Najświętszy Panie
k.: Idzie, idzie Bóg prawdziwy
u.: Cantate Domino Pitoni
z.: Chwalcie Pana wszyscy "
"8"," 2022.11.06 XXXII NZ, ROK C"," wj.: Kłaniam się Tobie (opr. M. Szulik)
all.: Kanon G
d.:  Benedictus  J. Maklakiewicz
k.: O Panie, Tyś moim pasterzem
u.: O sacrum convivium G. Molfino
z.: Laudate Dominum G. Zelioli"
"9"," 2022.11.20 Uroczystość Jezusa Chrystusa Króla Wszechświata"," wj.: Chrystus wodzem. Boga naszego (opr. M. Szulik)
all.: C. Mawby
d.:  Bóg nad swym ludem (opr. M.Szulik)
k.: Idzie, idzie Bóg prawdziwy
u.: Cóż Ci, Jezu damy (ks. A. Hoffman)
z.: Jubilate Deo C. Mawby"
"10","2022.12.04 II Niedziela Adwentu A","  wj.: Hejnał wszyscy zaśpiewajmy
all.: Kwiatkowski
d.:  Przygotujcie drogi dla Pana (opr. M.Szulik)
k.: Jezu, Jezu do mnie przyjdź
u.: Oculi omnium Ch. Wood
z.: Oto Pan Bóg przyjdzie"
"11"," 2022.12.24 Narodzenie Pańskie Msza w nocy","wj.: Wśród nocnej ciszy J. Maklakiewicz
all.: C. Mawby
d.: Jasna Panna J. Maklakiewicz
k.: Anioł pasterzom mówił
u.: Adeste fideles D. Willcock
z.: Bóg się rodzi M. Szulik"
"13","2023.03.05 II Niedziela Wielkiego Postu","w.: Pójdź do Jezusa
Chwała Tobie (A. Hoffman)
d.: Chrystus, Chrystus to nadzieja (M. Szulik)
k.: Panie pragnienia ludzkich serc
u.: Śpiewaj, śpiewaj sercem całym (G. Skop)
z.: Krzyżu święty (A. Hoffman)
"
"14","2023.03.19 IV Niedziela Wielkiego Postu"," w.: Jezu miłości Twej (M. Szulik)
Chwała Tobie (A. Hoffman)
d.: Nawróć się ludu w pokorze (M. Szulik)
k.: O Panie, Ty nam dajesz
u.: Anima Christi (M. Frisina)
z.: Stała Matka (A. Hoffman)
"
"15","2023.04.02 Niedziela Palmowa czyli Męki Pańskiej","rozpoczęcie liturgii: Hosanna Filio Dawid (M. Szulik)
procesja wejścia: Chrystus wodzem z psalmem (opr. M. Szulik)
przed Ewangelią; Chwała Tobie. Dla nas Chrystus (A. Hoffman/M. Szulik)
Pasja wg św. Mateusza (A. Hoffman)
d.: Ach, mój Jezu
k.: Ogrodzie oliwny
u.: Anima Christi (M. Frisina)
z.: Krzyżu święty (A. Hoffman)"
"16","2023.04.06 Msza Wieczerzy Pańskiej","w.: Chwałą naszą jest krzyż (M. Szulik)
       W krzyżu cierpienie
przed Ewangelią: Chwała Tobie. Daję wam przykazanie (A. Hoffman/M. Szulik)
umycie nóg: Gdy Pan wstał od wieczerzy (M. Szulik)
d.: Gdzie miłość wzajemna
    Congregavit nos in unum (M. Szulik)
k.: Tyś w wieczerniku (opr. A. Hoffman)
     Panie dobry jak chleb
     O sacrum convivium (G. Molfino)
przeniesienie Najświętszego Sakramentu: Sław języku Tajemnicę (opr. M. Szulik)
     "
"17","2023.04.07 Liturgia Męki Pańskiej"," graduał: Christus factus est (F. Anerio)
Pasja wg św. Jana (M. Szulik)
Adoracja Krzyża: 
Krzyżu święty (A. Hoffman)
Jezu Chryste 
Crucem Tuam (M. Szulik)
Ludu mój ludu
Święty Boże
Stabat Mater (gregoriańskie)
Pozwól mi Twe męki (A. Nikodemowicz)
Ty, któryś gorzko (S. Wiechowicz) 
Zawitaj ukrzyżowany (A. Nikodemowicz)
Wisi na krzyżu
Stała Matka boleściwa (A. Hoffman)
k.: Witam Cię, witam
     Anima Christi (M. Frisina)
Procesja do grobu:	Odszedł Pasterz (opr. A. Zoła)
"
"18","2023.04.08 Wigilia Paschalna","przed Ewangelią: Alleluja (G. F. Handel) 
pokropienie wodą święconą: Chrystus Pan zmartwychwstał (St. Wiechowicz)
d.: Alleluja, o filii et filie (C.V. Stanford) 
k.: Otrzyjcie już łzy
    Zwycięzca śmierci (Chlondowski)
z.: Regina coeli (M. Szulik)
"
"19","2023.04.23 III Niedziela Wielkanocna","w.: Zwycięzca śmierci (A. Chlondowski/M. Szulik)
all.: C. Mawby
d.: Chrystus Pan zmartwychwstał (St. Wiechowicz)
k.: Wesoły nam dzień dziś nastał
u.: Misericordias Domnini (J. Botor)
z.: Regina coeli (M. Szulik)"
"20","2023.05.07 V Niedziela Wielkanocna"," w.: Wesoły nam dzień (A.Chlondowski/M.Szulik)
all.: Kanon 
d.: Alleluja. Żyje Pan (A. Chlondowski/M.Szulik)
k.: Chrystus zmartwychwstan jest
u.: Panis Angelicus (C. Franck)
z.: Maryjo, ja Twe dziecię (A. Chlondowski)"
"21","2023.05.13 Ślub Jolanty i Pawła Dobrowolskich "," w.: Alleluja, żyje Pan (A.Chlondowski/M.Szulik)
all.: Kanon
d.: Niech Pan Cię błogosławi (J. Rutter)
k.: Panie, pragnienia ludzkich serc
u.: Panic angelicus (C. Franck)
z. Maryjo, ja Twe dziecie (A. Chlondowski)"
"22","2023.05.28 Uroczystość Zesłania Ducha Świętego"," w.: Pamiątkę dnia świątecznego (A.Chlondowski/M.Szulik)
Sekwencja Przybądź Duchu Święty (R.Atroszczak/M./Szulik)
all.: C. Mawby
d.: Veni Sancte Spiritus (P. Hurford)
k.: Alleluja, żyje Pan
u.: Jubilate Deo (C.Mawby)
z.: Regina doeli (M. Szulik)
"
"23","2023.06.08 Uroczystość najświętszego Ciała i Krwi Pańskiej","w.: Kłaniam się Tobie (R.Atroszczak/M./Szulik) 
all.: Z Bazyliki
d.: Docti sacris (F. Mendelssohn-Bartholdy)
k.: Panie dobry jak chleb
   
Przy pierwszym ołtarzu: O sacrum convivum (G. Perosi)"
"24","2023.09.10 XXIII Niedziela Zwykła"," w.: Boże w dobroci (M. Szulik)
all.: Kwiatkowski
d.: Ubi caritas (N. Palmer)
k.: Panie, pragnienia ludzkich serc
u.: Misericordias Domini (M. Botor)
z.: Maryjo, ja Twe dziecię (A. Chlondowski)"
"25","2023.09.24 XXV Niedziela Zwykła"," w.: Chrystus, Chrystus (opr. M. Szulik)
all.: Kanon G
d.: Boże mocny, Boże cudów
k.: Jeden chleb
u.: Nową pieśń (S. Wesley)
z.: Być bliżej Ciebie chcę (opr. M. Szulik)"
"26","2023.10.22 XXVIII Niedziela Zwykła"," w.: Ku Tobie Panie (R.V. Williams)
all.: z bazyliki
d.: Bogu z Jego darów (opr. M. Szulik)
k.: Pan zstąpił z nieba
u.: Niebiosa głoszą (M. Frisina)
z.: Wskaż mi Panie (Ch. Wood)"
"27","2023.11.05 XXX Niedziela Zwykła"," w.: Jezu miłości Twej (opr. M. Szulik)
all.; Mancini
d.: Supplices, Te rogamus (M. Frisina)
k.: Jezu, Jezu do mnie przyjdź
u.: Chrystus źródłem (J.S. Bach)
z.: Bóg nad swym ludem (opr. M. Szulik)
"
"28"," 2023.11.26 Uroczystość Jezusa Chrystusa, Króla Wszechświata"," w.: Chrystus wodzem (opr. M. Szulik)
all.: Mawby
d.: Bóg nad swym ludem (opr. M.Szulik)
k.; Idzie, idzie Bóg prawdziwy
u.: Cóż Ci, Jezu damy (opr. A. Hoffman)
z.: O chryste (C. Mawby)"
"29"," 2023.12.08 Uroczystość Niepokalanego Poczęcia Najświętszej Maryi Panny"," wj.: Matko Niebieskiego Pana (A. Chlondowski/M.Szulik)
all. z Bazyliki
d.: Zdrowaś bądź Maryja (H.M. Górecki)
k.: Bądźże pozdrowiona Hostio żywa
u.: Ave verum corpus (W.A. Mozart)
z.: Maryjo, ja Twe dziecię (A. Chlondowski)"
"30"," 2023.12.24 Uroczystość Narodzenia Pańskiego Pasterka","Godzina czytań Uroczystości Narodzenia Pańskiego (opr. M. Szulik)
r.: Pan z nieba i z łona (opr. S. Stuligrosz)
wj.: Wśród nocnej ciszy (opr. J. Maklakiewicz)
all.: Z bazyliki
d.: Jasna Panna (J. Maklakiewicz)
k.: Dzisiaj w Betlejem
     Adeste fideles (opr. D. Willcock/ M. Szulik)
u.: Tryumfy Króla (opr. S. Stuligrosz)
z.: Bóg sie rodzi (opr. M. Szulik)
"
"31"," 2024.01.07 Święto Chrztu Pańskiego","wj.: Wśród nocnej ciszy (opr. J. Maklakiewicz)
all.: Z bazyliki
d.: Na Boże Narodzenie (ks. A. Hoffman)
k.: O gwiazdo Betlejemska
u.; Adeste fideles (opr. D. Willcock/ M. Szulik)
z.: Tryumfy Króla (opr. S. Stuligrosz)
"
"32"," 2024.02.04 V Niedziela Zwykła"," w.: Boże w dobroci (opr. M. Szulik)
all.: Kanon w G
d.: Supplices, Te rogamus (M. Frisina)
k.: Jezu, Jezu do mnie przyjdź
u.: Nową pieśń (S. Wesley)
z.: Wskaż mi Panie (Ch. Wood)"
"33"," 2024.03.10 IV Niedziela Wielkiego Postu"," w.: Jezu miłości Twej (M. Szulik)
Chwała Tobie (A. Hoffman)
d: Nawróć się ludu w pokorze (M. Szulik)
k: O Panie, Ty nam dajesz
u: Anima Christi (M. Frisina)
Z: Krzyżu święty (A. Hoffman)"
"34"," 2024.03.24  Niedziela Męki Pańskiej czyli Palmowa"," wj.:	Hosanna Filio David (M. Szulik)
procesja:	Tobie cześć, Tobie chwała (M. Szulik)
Chwała Tobie. Dla nas Chrystus (M. Szulik)
Pasja wg św. Mateusza (A. Hoffman)
d.: Ach mój Jezu
k.: Ogrodzie oliwny
     Pozwól mi Twe męki (A. Nikodemowicz)
     Anima Christi (M. Frisina)
z:. Krzyżu święty (A. Hoffman)
"
"35"," 2024.03.28  Msza Wieczerzy Pańskiej"," wj.: Chwałą naszą jest Krzyż (M. Szulik) zwrotki W Krzyżu cierpienie
Chwała Tobie. Daję wam (M. Szulik)
umycie nóg: Gdy Pan wstał od wieczerzy (M. Szulik)
d.: Gdzie miłość wzajemna. Congregavit nos (M. Szulik)
k.: Panie dobry jak chleb	
    Tyś w wieczerniku (A. Hoffman)
    O sacrum convivium (G. Molfino)
procesja: Sław języku Tajemnicę (M. Szulik)
"
"36"," 2024.03.29  Liturgia Męki Pańskiej"," gr.:	Christus factus est (F. Anerio)
Pasja wg św. Jana (M. Szulik)
podczas Adoracji Krzyża
Improperia (M. Szulik)
Crucem Tuam (M. Szulik)
Pozwól mi Twe męki (A. Nikodemowicz)
O crux, ave (R. Dubra) 
Miserere mei (A. Lotti)
Krzyżu święty (A. Hoffman)
Stała Matka boleściwa (A. Hoffman)
k.: Witam Cię, witam
 Ave verum (M. Szulik)
Śpiewaj, śpiewaj sercem całym (G. Skop)
procesja:	Odszedł Pasterz (A. Zoła)
"
"37"," 2024.03.30  Wigilia Paschalna"," przed Ewangelią:	Alleluja (G. F. Handel) 
pokropienia zgromadzenia: Chrystus Pan zmartwychwstał (St. Wiechowicz)
d.: Alleluja, o filii et filie (C.V. Stanford) 
k.: Otrzyjcie już łzy
Zwycięzca śmierci (A. Chlondowski)
z.: Regina coeli (M. Szulik)
"
"38"," 2024.04.07 II Niedziela Wielkanocna czyli Miłosierdzia Bożego","w.: Zwycięzca śmierci (A. Chlondowski)
all.: Kanon
d.:  Chrystus Pan zmartwychwstał (St. Wiechowicz)
k.: Chrystus zmartwychwstan jest
u.: Misericordias Domini (M. Botor)
z.: Regina coeli (M. Szulik)
"
"39"," 2024.04.21 IV Niedziela Wielkanocna "," W. Wesoły nam dzień (A. Chlondowski/M.Szulik)
All. Z. Nowacki
Pd. Zwycięzca śmierci (A. Chlondowski)
K. O Panie, Tyś moim Pasterzem
U. Alleluja! Żyje Pan!  (A. Chlondowski/M.Szulik)
Z. Regina coeli (M. Szulik)"
"40"," 2024.05.18 Igrzyska Chóralne 2024 Warszawa"," 1. F. Anerio - Christus factus
2. A. Hoffman - Krzyżu Święty 
3. L. Bardos - Sperent in te
4. K. Nystedt - Laudate"
"41"," 2024.05.19 Uroczystość Zesłania Ducha Świętego","w.: Pamiątkę dnia świątecznego (A.Chlondowski/M.Szulik)
Sekwencja Przybądź Duchu Święty (R.Atroszczak/M./Szulik)
all.: C. Mawby
d.: Veni Sancte Spiritus (P. Hurford)
k.: Alleluja, żyje Pan
u.: Laudate (K.Nystedt)
z.: Regina coeli (M. Szulik)"
"42"," 2024.05.29 Ślub Sylwii i Sebastiana","w.: Chwalcie Pana (J. Orszulik)
all.: Kanon
d.: Congregavit (M. Szulik)
k.: Bądźże pozdrowiona
u.: Laudate (K. Nystedt)
z. Maryjo, ja Twe dziecie (A. Chlondowski)

Cz. Stałe ks. Pawlak"
"43"," 2024.05.30 Uroczystość Najświętszego Ciała i Krwi Pańskiej","Przy ołtarzu: Chwalcie Pana (J. Orszulik)

w.: Kłaniam się Tobie (R.Atroszczak/M./Szulik)
all.: Kanon
d.:Pokarmie naszej drogi (J. Haydn) 
k.: Panie dobry jak chleb
u.: Laudate (K. Nystedt)
z. Maryjo, ja Twe dziecie (A. Chlondowski)"
"44"," 2024.06.09 Msza dziękczynna z okazji 25. rocznicy wizyty św. Jana Pawła II w Siedlcach"," w.: Chwalcie Pana (J. Orszulik)
all.: Kanon
d.: Kłaniam się Tobie (R.Atroszczak/M./Szulik)
k.: Panie dobry jak chleb
u.: Laudate (K. Nystedt)
z. Maryjo, ja Twe dziecie (A. Chlondowski)"
"45"," 2024.06.14 30.rocznica święceń kapłańskich ks. Michała"," w.: Kłaniam się Tobie (R.Atroszczak/M./Szulik)
all.: Kanon
d.: Chwalcie Pana (J. Orszulik)
k.:
U. Panis Angelicus(C. Franck)
z. Maryjo, ja Twe dziecie (A. Chlondowski)"
"46"," 2024.06.30 Msza i Koncert z okazji 30.rocznicy śmierci ks. Alfreda Hoffmana ","Utwory skomponowane przez ks. Alfreda Hoffmana:
W. Krzyżu święty
All. ks. Hoffman
Pd. Cóż Ci Jezu damy
U. Tyś w wieczerniku

Koncert: G.Faure - Requiem d-moll op.48"
"47"," 2024.09.08 XXIII Niedziela Zwykła"," wj.: Sperent in Te omnes (L. Bardos)
all.: Kanon in G
d.: Bogu z Jego darów (M. Szulik)
k.: Bądźże pozdrowiona
u.: O sacrum convivium (G. Molfino)
z.: Maryjo ja Twe dziecię ( A. Chlondowski)"
"48"," 2024.09.22 Uroczystość Uroczystość Poświęcenia Kościoła Katedralnego"," w.:  Locus iste (Ph. Stopford)
all. C. Mawby
d.: Boże obdarz (M. Szulik)
k.: Pan wieczernik przygotował
u.: Ciebie Boga wysławiamy (M. Szulik)
z.; Weż w swą opiekę"
"49"," 2024.10.26 g. 10.00 Msza św. z przyjęciem Znaków Misyjnych","w.: Matko Niebieskiego Pana (A.Chlondowski/M.Szulik)
all.: Kanon
d.: Maryjo, ja Twe dziecię (A.Chlondowski/M.Szulik)
k.: Bądźże pozdrowiona
u.: O sacrum convivium (G. Molfino)
z.: Weź w swą opiekę (F.Rączkowski/M.Szulik)
"
"50"," 2024.10.27 g. 16.00 Msza św. na zakończenie Misji Ewangelizacyjnych","w.:  Boże w dobroci (M.Szulik)
all.: Mawby
d.: Com przyrzekł Bogu (M.Pearson/M.Szulik)
k.: Bądźże pozdrowiona
u.: Laudate Dominum (K.Nystedt)
z.: Locus iste (Ph.Stopford)
"
