"id_song","name_song","count_p","author","id_folder","one_voice","actual","note","views"
"1","Bóg się rodzi","87","Szulik M.R.","1","0","0",,"659"
"2","Jasna Panna","98","Maklakiewicz J.","1","0","0",NULL,"444"
"6","Vexilla Regis","57","Bruckner A.","5","0","0",,"274"
"8","Pasja wg Św. Jana","3","Szulik M.R.","6","0","0",,"198"
"9","Sław języku Tajemnicę","39","Szulik M.R.","33","0","0",,"196"
"10","Hoc Corpus","50","Szulik M.R.","6","0","0",,"340"
"13","Gdy Pan wstał od wieczerzy","58","Szulik M.R.","33","0","0",,"149"
"14","Regina coeli","75","Szulik M.R.","9","0","0",,"343"
"15","Hosanna Filio David","70","Szulik M.R.","6","0","0",,"283"
"16","Chrystus Pan zmartwychstał","40","Nikodemowicz A.","29","0","0",,"218"
"17","Alleluia, o filii et filie","50","Stanford C.V./Szulik M.R.","29","0","0",,"207"
"18","Alleluia z oratorium Mesjasz","34","Haendel G.F.","28","0","0",,"184"
"19","Alleluia z oratorium Mesjasz","33","Haendel G.F.","28","0","0",,"164"
"20","Pasja według sw. Łukasza","25","Szulik M.R.","3","0","0",,"134"
"21","Pasja według sw. Łukasza","23","Szulik M.R.","3","0","0",,"141"
"22","Pozwól mi Twe męki śpiewać","67","Nikodemowicz A.","33","0","1",,"361"
"23","Boże w dobroci","50","Szulik M.R.","72","0","0",,"240"
"25","Tryumfy Króla Niebieskiego","84","Stuligrosz S.","10","0","0",,"170"
"26","Chwałą naszą jest Krzyż","48","Szulik M.R.","3","0","0",,"163"
"27","Chrisus factus est","52","Anerio F.","6","0","0",,"476"
"28","Przyjmij, o Najświętszy Panie","32","Szulik M.R.","66","0","0",,"157"
"29","Jezu miłości Twej","36","Szulik M.R.","66","0","0",,"341"
"30","Bogu z Jego darów","40","Szulik M.R.","72","0","0",,"240"
"31","Być bliżej Ciebie chcę","32","Szulik M.R.","72","0","0",,"281"
"32","Nową pieśń zaśpiewajcie","59","Wesley S./Szulik M.R.","20","0","0",,"224"
"33","Ciebie na wieki","40","Górecki H.M. ","61","0","0",,"92"
"34","Zawitaj Ukrzyżowany","37","Nikodemowicz A.","33","0","0",,"123"
"35","Chwała Tobie (Daję wam...)","44","Szulik M.R.","33","0","0",,"123"
"36","Chwała Tobie (Dla nas...)","42","Szulik M.R.","33","0","0",,"128"
"37","Chrystus, Chrystus to nadzieja","50","Szulik M.R.","45","0","0",,"323"
"40","Śpiewaj, Śpiewaj sercem całym","78","Stecka M.","13","0","0",,"112"
"41","Dobranoc Głowo Święta","45","Nikodemowicz A.","33","0","0",,"158"
"42","Kto jest sługą Matki Swiętej","50","Wiechowicz S. ","3","0","0",,"117"
"43","Płaczcie anieli","48","Nikodemowicz A.","33","0","0",,"122"
"44","Odszedł Pasterz od nas","81","Zoła A.","3","0","0",,"124"
"45","Ty, któryś gorzko","65","Wiechowicz S.","33","0","0",,"111"
"46","Surrexit a mortuis","64","Widor Ch.M.","14","0","0",,"107"
"47","Tobie cześć, Tobie chwała","45","Szulik M.R.","6","0","0",,"133"
"49","Chrystus wodzem","79","Szulik M.R.","45","0","0",,"343"
"50","Canticorum iubilo","37","Haendel G.F.","24","0","0",,"172"
"51","Alleluja (Nie wyjście..)","30","Mawby C./Szulik M.R.","43","0","0",,"119"
"52","Misericordias Domini","70","Botor J.","20","0","0",,"221"
"53","O przyjdzcie, radośnie Zaśpiewamy","37","Mawby C./Szulik M.R.","66","0","0",,"106"
"54","Teraz uwalniasz","39","Stanford Ch.V/Szulik M.R.","66","0","0",,"103"
"55","Tak Bóg umiłował Świat","41","Stainer J./Szulik M.R.","66","0","0",,"98"
"56","Psalm 84","20","Szulik M.R.","74","0","0",,"99"
"57","Psalm 84","16","Szulik M.R.","74","0","0",,"117"
"58","Ave Maria II","36","Liszt F.","64","0","0",,"107"
"59","O sacrum convivium","40","Perosi L.","50","0","0",,"144"
"60","Ku Tobie Panie wznosim Śpiew","23","Williams R.V./Szulik M.R.","71","0","0",,"238"
"61","Z głębokości grzechów","37","Bazylik C.","33","0","0",,"81"
"62","Niech Cię Pan błogosławi","23","Rutter J./Szczepański A.","71","0","0",,"81"
"63","Kłaniam się Tobie","61","Szulik M.R.","50","0","0",,"257"
"65","Alleluja mszalne I","65","Kwiatkowski S.","43","0","1",,"580"
"67","Ave verum corpus","29","Szulik M.R.","50","0","0",,"246"
"68","Veni Sancte Spiritus","40","Revert J./Szulik M.R.","29","0","0",,"98"
"69","Veni Sancte Spiritus","30","Hurford P./Szulik M.R.","29","0","0",,"223"
"70","Exsultate iusti","34","de Viadana L.","66","0","0",,"66"
"71","Ave Maria","27","Hoffman A.","61","0","0",,"76"
"72","O Chryste","33","Mawby C./Szulik M.R ","66","0","0",,"157"
"74","Quae est ista","12","Franck C.","75","0","0",,"82"
"75","Quae est ista","16","Franck C.","75","0","0",,"75"
"76","Quae est ista","11","Franck C.","75","0","0",,"72"
"77","Victime Paschali laudes","95","Revert J. ","29","0","0",,"79"
"78","Dextera Domini","19","Franck C.","73","0","0",,"67"
"79","Haec dies","45","Szulik M.R.","29","0","0",,"74"
"80","Dextera Domini","20","Franck C.","73","0","0",,"74"
"81","Jubilate Deo","43","Mawby C.","24","0","0",,"155"
"82","Iesum Christum praedicare","7","Szulik M.R.","45","0","0",,"91"
